0,1,2,3,4,5,6,7,8,9
435.0,2494.0,437.0,411.0,406.0,2498.0,443.5,434.0,444.5,505.5
423.5,421.5,2481.5,2479.5,428.5,2483.5,426.5,425.5,2492.5,412.5
443.0,435.0,434.0,437.0,428.0,432.0,503.5,433.5,516.5,451.5
436.5,434.5,416.5,414.5,2488.5,2490.5,464.5,435.5,442.0,1408.5
414.0,415.0,439.0,417.0,412.0,438.0,419.0,467.0,413.5,511.5
407.0,498.5,528.5,406.0,512.5,479.0,496.5,505.5,494.5,508.5
436.0,434.0,438.0,469.0,427.0,432.0,443.0,420.0,407.0,437.0
